許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛署健食字第A00022號,衛署健食字,波爾Green Time益牙口香糖-薄荷風味,2002/03/25,金車股份有限公司,核可,木糖醇,牙齒保健功能,經人體食用研究結果：1.有助於減少口腔內的牙菌斑。 2.有助於減少牙菌斑內突變形鏈球菌數量（Streptococcus mutans）。 3.有助於降低蛀牙的發生率。,,1.少吃甜食，維持口腔衛生是防止蛀牙的最基本要素。2.幼童食用本產品時請特別小心，切勿將其吞食。3.服用本品如有任何過敏及不適，請立即停止食用。4.購買時包裝有破損或不全之情形，請勿食用。5.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。6.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=20
衛署健食字第A00023號,衛署健食字,如新華茂超級靈芝,2002/04/08,美商如新華茂股份有限公司台灣分公司,核可,靈芝三帖類、 靈芝多醣體,"免疫調節功能, 護肝功能",(一) 保健功效項目「免疫調節」根據動物及體外試驗結果具有下列功效： 1 有助於促進抗體生成。 2 有助於促進免疫細胞增生能力。 3 有助於調節T 細胞功能。(二) 保健功效項目「護肝」根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷，具有下列功效：有助於降低血清中GPT 和GOT 值。,,(A)請小心存放，避免兒童取用，若正值懷孕、授乳、服用藥物者，請先洽詢醫師意見，再決定是否食用。(B)如發現包裝破損或品質異常，請將整瓶產品交由會員送回公司更換商品。(C)本產品非藥品，供保健用，罹病者仍需就醫，請依建議攝取量食用，勿過量。(D)請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=197
衛署健食字第A00024號,衛署健食字,光泉晶球優酪乳 - 原味低脂,2002/04/25,光泉牧場股份有限公司,核可,比菲德氏龍根菌(Bifidobacterium longum),胃腸功能改善,有助於增加腸內益生菌。,本產品含有牛奶，對其過敏者不宜食用。,1.產品須冷藏0 ℃-7 ℃。2.飲用前搖一搖。3.請勿將Bifidus微膠囊咬破。4.本產品供保健用，請依建議攝取量食用。5.請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=21
衛署健食字第A00025號(本證失效),衛署健食字,桂格成長奶粉健康三益菌配方,2002/05/20,佳格食品股份有限公司,失效,總乳酸菌（含Lactobacillus acidophilus 與Lactobacillus casei）、比菲德氏菌（Bifidobacterium lactis）,胃腸功能改善,有助於 1.增加腸內益菌。2.減少腸內害菌（Clostridium perfringens）。 3.改善腸內細菌菌相。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=22
衛署健食字第A00026號,衛署健食字,桂格三寶燕麥,2002/09/05,佳格食品股份有限公司,核可,β-聚葡萄糖 (β-glucan),調節血脂,經動物實驗結果：每天至少130公克三寶燕麥配合低飽和脂肪及低膽固醇飲食：1.有助於降低血中總膽固醇。2.有助於降低血中低密度脂蛋白膽固醇。3.有助於減少發生心血管疾病的危險因子。,,1.請洽詢醫師或營養師有關於食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。2.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=23
衛署健食字第A00027號,衛署健食字,金車補給園乳酸活菌複方膠囊,2002/09/25,金車股份有限公司,核可,活性乳酸菌(含 L. paracasei+B. lactis+L. acidophilus)、比菲德氏菌(B. lactis),胃腸功能改善,經動物實驗結果，有助於增加腸內益生菌。,本產品含有菊苣纖維，食用後會促進腸道蠕動，並產生脹氣及排氣等現象，若有不適者請停止食用。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.請小心存放，避免孩童自行拿取。4.請洽詢醫師或營養師有關食用本品之意見；均衡飲食及適當運動為身體健康之基礎。5.如有品質不符之處，請記錄購買日期、店名連同產品寄至下述地址，本公司將寄送新品及郵資。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=24
衛署健食字第A00028號,衛署健食字,葡萄王LGG特益菌,2002/10/25,葡萄王生技股份有限公司,核可,Lactobacillus casei sp. rhamnosus GG,胃腸功能改善,經動物實驗結果，有助於增加腸內乳酸菌菌數。,一歲以下的嬰兒不得食用。,(1)本品含有奶及麩質之榖物製品，請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當之運動為身體健康之基礎。(2) 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=25
衛署健食字第A00029號,衛署健食字,金車補給園幾丁聚醣複方膠囊,2002/12/12,金車股份有限公司,核可,幾丁聚醣、類黃酮,調節血脂功能,(1)有助於降低血中總膽固醇。(2)有助於降低血中低密度脂蛋白膽固醇。,1.建議對蝦蟹過敏者避免食用。2.糖尿病患者請遵循專業醫事人員建議食用。3.兒童、患有腸胃道疾病或腸胃道功能較差者，請勿食用。或食用前先洽詢醫師或營養師意見。4.請勿過量食用，以免腸胃功能受損。5.有服用慢性病藥物者，應諮詢醫師後，方可使用。6.不建議孕婦、授乳者及嬰幼兒食用。7.如出現消化道不適、頭痛、頭暈、口乾、噁心、出汗等不適症狀，應停止使用並就醫。8.本品可能增加或減少經CYP2B6代謝之藥物濃度，倘使用相關藥物者，建議諮詢醫師、藥師或營養師有關食用本品之意見。9.12歲以下孩童、孕婦、消化不良與重大疾病患者不宜使用。10.患有躁症、思覺失調症或肝移植等情況者，請勿食用。11.一日請勿超過 4粒，多食無益,1.本產品非藥品，供保健用，罹病者仍需就醫2.請依建議攝取量食用，勿過量3.請小心存放，避免孩童自行拿取4.請保有健康飲食習慣，維持適當體重5.請洽詢醫師或營養師有關食用本品之意見；均衡飲食及適當運動為身體健康之基礎6.若正值懷孕、授乳或服用藥物等期間，請先洽詢醫師意見再決定是否食用7.如有品質不符之處，請記錄購買日期、店名連同產品寄至公司地址，本公司將寄送新品及郵資,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=26
衛署健食字第A00030號,衛署健食字,高鈣脫脂奶粉,2003/01/10,佳格食品股份有限公司,核可,總乳酸菌（含Lactobacillus acidophilus 與Lactobacillus casei）、比菲德氏菌（Bifidobacterium lactis）及鈣為品管指標成分,"調節血脂, 胃腸功能改善",(一)經人體食用研究結果：1.有助於增加腸內益菌。2.有助於減少腸內害菌（Clostridium perfringens）。3.有助於改善腸內細菌菌相。(二)經動物實驗結果：1.有助於降低血中三酸甘油酯。2.有助於降低血中低密度脂蛋白膽固醇。3.有助於增加血中高密度脂蛋白膽固醇。,有乳糖不耐症者，食用前請先洽詢醫師或營養師意見。,1.請洽詢醫師或營養師有關於食用本產品之意見，均衡的飲食及適當的運動為身體健康的基礎。2.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=27
衛署健食字第A00031號(本證失效),衛署健食字,益百康,2003/01/20,多得麗富股份有限公司,失效,EPA、 DHA,調節血脂,有助於降低血中三酸甘油酯。,●對海產過敏者，請向醫生諮詢。,●請置放在小孩碰不到的地方。●均衡飲食為身體健康之基礎，請洽詢營養師或醫師有關食用本品之意見。●本品不具醫療效能。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=28
